mean1991,sd1991,N1991,mean2000,sd2000,N2000,mean2010,sd2010,N2010
13.38,10.70,411.00,15.06,13.23,411.00,21.65,14.54,411.00
4.13,2.98,411.00,4.71,3.18,411.00,6.27,3.19,411.00
754.92,338.44,411.00,920.00,372.59,411.00,992.34,332.09,411.00
0.60,0.05,411.00,0.60,0.06,411.00,0.64,0.08,411.00
0.22,0.02,411.00,0.23,0.01,411.00,0.23,0.02,411.00
0.48,0.04,411.00,0.47,0.04,411.00,0.45,0.05,411.00
0.09,0.01,411.00,0.08,0.01,411.00,0.06,0.01,411.00
0.61,0.20,411.00,0.68,0.18,411.00,0.73,0.17,411.00
613.57,332.27,411.00,709.16,340.66,411.00,761.20,330.53,411.00
0.55,0.09,411.00,0.32,0.06,411.00,0.26,0.04,411.00
0.55,0.04,411.00,0.56,0.04,411.00,0.52,0.04,411.00
353130.47,929562.25,411.00,407750.09,1046676.81,411.00,457060.16,1143856.00,411.00
342.37,182.79,411.00,820.89,331.55,411.00,1060.97,319.02,411.00
325.08,161.25,411.00,862.87,348.50,411.00,1632.80,556.71,411.00
778.18,976.40,411.00,1299.09,1365.38,411.00,2743.20,2442.16,411.00
3049.70,12709.20,411.00,5015.06,16569.03,411.00,7196.87,21597.48,411.00
